cycle theoreticalDist theoreticalMaxDist average standardDeviation
firstSpeed 0.1
1 0.1 0.105 0.1 0.00204149
2 0.194 0.208635 0.193999 0.00439777
3 0.28236 0.310923 0.282357 0.00709094
4 0.365418 0.411881 0.365414 0.010006
5 0.443493 0.511526 0.443489 0.013061
6 0.516884 0.609876 0.516882 0.0161981
7 0.585871 0.706948 0.585873 0.0193705
8 0.650718 0.802758 0.650723 0.0225507
9 0.711675 0.897322 0.711682 0.0257113
10 0.768975 0.990657 0.768985 0.0288342
11 0.822836 1.08278 0.822849 0.031904
12 0.873466 1.1737 0.873481 0.0349106
13 0.921058 1.26344 0.921075 0.0378439
14 0.965795 1.35202 0.965812 0.0406965
15 1.00785 1.43944 1.00787 0.0434634
16 1.04738 1.52573 1.0474 0.0461423
17 1.08453 1.6109 1.08456 0.0487305
18 1.11946 1.69495 1.11949 0.0512253
19 1.15229 1.77792 1.15232 0.053627
20 1.18316 1.85981 1.18318 0.0559349
21 1.21217 1.94063 1.2122 0.0581506
22 1.23944 2.0204 1.23947 0.0602748
23 1.26507 2.09914 1.26511 0.0623081
24 1.28917 2.17685 1.2892 0.0642541
25 1.31182 2.25355 1.31186 0.0661145
26 1.33311 2.32925 1.33315 0.0678912
27 1.35312 2.40397 1.35317 0.0695866
28 1.37193 2.47772 1.37198 0.0712039
29 1.38962 2.55051 1.38967 0.0727451
30 1.40624 2.62235 1.40629 0.0742129
31 1.42187 2.69326 1.42192 0.07561
32 1.43655 2.76325 1.43661 0.0769389
33 1.45036 2.83233 1.45042 0.0782017
34 1.46334 2.90051 1.4634 0.0794013
35 1.47554 2.9678 1.4756 0.0805405
36 1.48701 3.03422 1.48707 0.0816221
37 1.49779 3.09977 1.49785 0.0826488
38 1.50792 3.16448 1.50798 0.0836228
39 1.51744 3.22834 1.5175 0.0845464
40 1.5264 3.29137 1.52646 0.085422
41 1.53481 3.35358 1.53487 0.0862516
42 1.54272 3.41499 1.54279 0.0870374
43 1.55016 3.47559 1.55022 0.0877816
44 1.55715 3.53541 1.55721 0.0884859
45 1.56372 3.59445 1.56378 0.0891522
46 1.5699 3.65272 1.56996 0.0897824
47 1.57571 3.71024 1.57577 0.0903785
48 1.58116 3.767 1.58122 0.090942
49 1.58629 3.82303 1.58636 0.0914747
50 1.59112 3.87833 1.59118 0.0919782
firstSpeed 0.2
1 0.2 0.21 0.200005 0.00408273
2 0.388 0.41727 0.388013 0.00879965
3 0.56472 0.621845 0.564741 0.0141894
4 0.730837 0.823761 0.730872 0.0200144
5 0.886987 1.02305 0.887035 0.0261188
6 1.03377 1.21975 1.03383 0.0323879
7 1.17174 1.4139 1.17182 0.0387327
8 1.30144 1.60552 1.30153 0.0450916
9 1.42335 1.79464 1.42346 0.0514122
10 1.53795 1.98131 1.53807 0.0576538
11 1.64567 2.16556 1.64581 0.0637876
12 1.74693 2.3474 1.74709 0.0697916
13 1.84212 2.52689 1.84229 0.0756495
14 1.93159 2.70404 1.93177 0.0813481
15 2.01569 2.87889 2.01589 0.0868764
16 2.09475 3.05146 2.09497 0.0922264
17 2.16907 3.22179 2.1693 0.0973927
18 2.23892 3.38991 2.23916 0.102372
19 2.30459 3.55584 2.30484 0.107163
20 2.36631 3.71961 2.36657 0.111768
21 2.42433 3.88126 2.42461 0.11619
22 2.47887 4.0408 2.47915 0.12043
23 2.53014 4.19827 2.53043 0.124492
24 2.57833 4.35369 2.57863 0.128378
25 2.62363 4.5071 2.62394 0.132092
26 2.66621 4.6585 2.66652 0.13564
27 2.70624 4.80794 2.70656 0.139027
28 2.74387 4.95544 2.74419 0.142257
29 2.77924 5.10102 2.77956 0.145335
30 2.81248 5.24471 2.81282 0.148268
31 2.84373 5.38652 2.84407 0.151058
32 2.87311 5.5265 2.87345 0.153714
33 2.90072 5.66466 2.90107 0.156237
34 2.92668 5.80101 2.92703 0.158635
35 2.95108 5.9356 2.95144 0.160912
36 2.97401 6.06844 2.97438 0.163075
37 2.99557 6.19955 2.99594 0.165128
38 3.01584 6.32896 3.01621 0.167074
39 3.03489 6.45668 3.03527 0.168919
40 3.05279 6.58274 3.05318 0.170668
41 3.06963 6.70717 3.07001 0.172326
42 3.08545 6.82997 3.08584 0.173895
43 3.10032 6.95118 3.10072 0.175381
44 3.1143 7.07082 3.1147 0.176788
45 3.12744 7.1889 3.12784 0.178118
46 3.1398 7.30544 3.1402 0.179378
47 3.15141 7.42047 3.15181 0.180568
48 3.16233 7.534 3.16273 0.181694
49 3.17259 7.64606 3.17299 0.182758
50 3.18223 7.75666 3.18263 0.183763
firstSpeed 0.3
1 0.3 0.315 0.300007 0.00612034
2 0.582 0.625905 0.581999 0.0131982
3 0.84708 0.932768 0.847069 0.0212776
4 1.09626 1.23564 1.09623 0.0300115
5 1.33048 1.53458 1.33045 0.0391589
6 1.55065 1.82963 1.55061 0.0485563
7 1.75761 2.12084 1.75756 0.0580775
8 1.95216 2.40827 1.9521 0.0676175
9 2.13503 2.69197 2.13496 0.0771006
10 2.30692 2.97197 2.30686 0.0864609
11 2.46851 3.24833 2.46844 0.0956638
12 2.6204 3.52111 2.62033 0.104673
13 2.76317 3.79033 2.7631 0.113462
14 2.89738 4.05606 2.89732 0.122011
15 3.02354 4.31833 3.02349 0.130302
16 3.14213 4.57719 3.14209 0.138326
17 3.2536 4.83269 3.25358 0.146079
18 3.35838 5.08486 3.35837 0.153557
19 3.45688 5.33376 3.45689 0.160752
20 3.54947 5.57942 3.54949 0.167664
21 3.6365 5.82189 3.63653 0.174302
22 3.71831 6.0612 3.71835 0.180666
23 3.79521 6.29741 3.79526 0.186761
24 3.8675 6.53054 3.86755 0.192592
25 3.93545 6.76064 3.93551 0.198165
26 3.99932 6.98776 3.99939 0.203488
27 4.05936 7.21191 4.05943 0.208567
28 4.1158 7.43316 4.11587 0.213411
29 4.16885 7.65153 4.16893 0.218029
30 4.21872 7.86706 4.2188 0.222427
31 4.2656 8.07979 4.26568 0.226615
32 4.30966 8.28975 4.30974 0.230597
33 4.35108 8.49698 4.35117 0.234385
34 4.39002 8.70152 4.39011 0.237983
35 4.42662 8.9034 4.42671 0.2414
36 4.46102 9.10266 4.46112 0.244644
37 4.49336 9.29932 4.49346 0.247723
38 4.52376 9.49343 4.52386 0.250644
39 4.55233 9.68502 4.55243 0.253412
40 4.57919 9.87411 4.57929 0.256037
41 4.60444 10.0607 4.60454 0.258523
42 4.62817 10.245 4.62827 0.260877
43 4.65048 10.4268 4.65058 0.263107
44 4.67145 10.6062 4.67155 0.265218
45 4.69117 10.7833 4.69127 0.267216
46 4.7097 10.9582 4.7098 0.269105
47 4.72712 11.1307 4.72722 0.270892
48 4.74349 11.301 4.74359 0.272583
49 4.75888 11.4691 4.75898 0.27418
50 4.77335 11.635 4.77345 0.275689
firstSpeed 0.4
1 0.4 0.42 0.399998 0.0081577
2 0.776 0.83454 0.775996 0.0175858
3 1.12944 1.24369 1.12943 0.0283588
4 1.46167 1.64752 1.46166 0.0400018
5 1.77397 2.04611 1.77396 0.0521925
6 2.06753 2.43951 2.06751 0.0647229
7 2.34348 2.82779 2.34344 0.0774096
8 2.60287 3.21103 2.60283 0.0901187
9 2.8467 3.58929 2.84665 0.102756
10 3.0759 3.96263 3.07584 0.115241
11 3.29135 4.33111 3.29127 0.127521
12 3.49386 4.69481 3.49377 0.13954
13 3.68423 5.05378 3.68413 0.151264
14 3.86318 5.40808 3.86306 0.162669
15 4.03139 5.75777 4.03125 0.173728
16 4.1895 6.10292 4.18936 0.184432
17 4.33813 6.44358 4.33798 0.194779
18 4.47785 6.77982 4.47769 0.204757
19 4.60918 7.11168 4.60902 0.214362
20 4.73263 7.43923 4.73246 0.223595
21 4.84867 7.76252 4.8485 0.232459
22 4.95775 8.0816 4.95758 0.24096
23 5.06028 8.39654 5.06012 0.2491
24 5.15667 8.70739 5.15651 0.256889
25 5.24727 9.01419 5.24711 0.264336
26 5.33243 9.31701 5.33228 0.271445
27 5.41248 9.61589 5.41234 0.278231
28 5.48773 9.91088 5.4876 0.284702
29 5.55847 10.202 5.55834 0.290868
30 5.62496 10.4894 5.62483 0.296742
31 5.68746 10.773 5.68734 0.302331
32 5.74622 11.053 5.74609 0.307647
33 5.80144 11.3293 5.80132 0.3127
34 5.85336 11.602 5.85324 0.317501
35 5.90216 11.8712 5.90203 0.32206
36 5.94803 12.1369 5.94791 0.326388
37 5.99114 12.3991 5.99102 0.330496
38 6.03168 12.6579 6.03155 0.334392
39 6.06978 12.9134 6.06965 0.338084
40 6.10559 13.1655 6.10547 0.341584
41 6.13925 13.4143 6.13913 0.3449
42 6.1709 13.6599 6.17077 0.348042
43 6.20064 13.9024 6.20052 0.351018
44 6.22861 14.1416 6.22848 0.353835
45 6.25489 14.3778 6.25476 0.3565
46 6.2796 14.6109 6.27946 0.359021
47 6.30282 14.8409 6.30269 0.361407
48 6.32465 15.068 6.32451 0.363664
49 6.34517 15.2921 6.34503 0.365797
50 6.36446 15.5133 6.36432 0.367814
firstSpeed 0.5
1 0.5 0.525 0.500005 0.0102074
2 0.97 1.04318 0.970006 0.0220207
3 1.4118 1.55461 1.41181 0.0355104
4 1.82709 2.0594 1.82712 0.0500715
5 2.21747 2.55763 2.21749 0.0653207
6 2.58442 3.04938 2.58445 0.0809773
